,Location,bike_traffic,category
6,08th / Bannock,673,N-S_direction
8,08th / Fort,317,N-S_direction
15,08th / River,1386,N-S_direction
85,Broadway / Warm Springs,135,N-S_direction
92,Collister / Catalpa,165,N-S_direction
112,Five Mile / McMillan,162,N-S_direction
181,Veterans Memorial/Chinden,36,N-S_direction
6,08th / Bannock,889,E-W_direction
8,08th / Fort,233,E-W_direction
15,08th / River,273,E-W_direction
85,Broadway / Warm Springs,222,E-W_direction
92,Collister / Catalpa,85,E-W_direction
112,Five Mile / McMillan,206,E-W_direction
181,Veterans Memorial/Chinden,26,E-W_direction
