,Location,Date,Value,speed
0,08th / Bannock,2010,267,10
1,08th / River,2010,252,13
2,13th / Fort,2010,105,13
3,Broadway / Warm Springs,2010,,17
4,Collister / Catalpa,2010,43,15
5,Five Mile / McMillan,2010,52,17
6,VMP / Chinden,2010,77,20
7,08th / Bannock,2011,115,10
8,08th / River,2011,249,13
9,13th / Fort,2011,,13
10,Broadway / Warm Springs,2011,58,17
11,Collister / Catalpa,2011,59,15
12,Five Mile / McMillan,2011,76,17
13,VMP / Chinden,2011,92,20
14,08th / Bannock,2012-May,148,10
15,08th / River,2012-May,115,13
16,13th / Fort,2012-May,,13
17,Broadway / Warm Springs,2012-May,,17
18,Collister / Catalpa,2012-May,56,15
19,Five Mile / McMillan,2012-May,55,17
20,VMP / Chinden,2012-May,,20
21,08th / Bannock,2012-September,178,10
22,08th / River,2012-September,146,13
23,13th / Fort,2012-September,129,13
24,Broadway / Warm Springs,2012-September,64,17
25,Collister / Catalpa,2012-September,,15
26,Five Mile / McMillan,2012-September,,17
27,VMP / Chinden,2012-September,,20
28,08th / Bannock,2013-May,149,10
29,08th / River,2013-May,123,13
30,13th / Fort,2013-May,80,13
31,Broadway / Warm Springs,2013-May,47,17
32,Collister / Catalpa,2013-May,,15
33,Five Mile / McMillan,2013-May,,17
34,VMP / Chinden,2013-May,59,20
35,08th / Bannock,2013-September,165,10
36,08th / River,2013-September,295,13
37,13th / Fort,2013-September,126,13
38,Broadway / Warm Springs,2013-September,73,17
39,Collister / Catalpa,2013-September,43,15
40,Five Mile / McMillan,2013-September,66,17
41,VMP / Chinden,2013-September,75,20
42,08th / Bannock,2014-May,234,10
43,08th / River,2014-May,177,13
44,13th / Fort,2014-May,64,13
45,Broadway / Warm Springs,2014-May,65,17
46,Collister / Catalpa,2014-May,51,15
47,Five Mile / McMillan,2014-May,49,17
48,VMP / Chinden,2014-May,92,20
49,08th / Bannock,2014-September,306,10
50,08th / River,2014-September,302,13
51,13th / Fort,2014-September,102,13
52,Broadway / Warm Springs,2014-September,62,17
53,Collister / Catalpa,2014-September,49,15
54,Five Mile / McMillan,2014-September,57,17
55,VMP / Chinden,2014-September,61,20
